,system,income,pop,age,house_married,house_nonfam,house_m_single,house_f_single,car,biz,unlinked_passenger_trips,uza_population,voms,vehicle_revenue_miles
2013,cleveland,20003.2,19078.6,34.74,16.48,55.32,4.44,23.76,61.02,584.8,4854519.0,1780673.0,16.0,648031.0
2014,cleveland,20489.2,18902.8,34.5,16.62,55.2,4.18,24.02,64.58,587.0,5084500.0,1780673.0,16.0,641100.0
2015,cleveland,19465.8,18673.0,35.0,15.78,55.62,4.32,24.24,59.78,591.2,4461433.0,1780673.0,16.0,600242.0
2016,cleveland,19874.8,18490.2,34.88,15.32,55.7,4.64,24.32,58.84,588.8,4609436.0,1780673.0,14.0,595789.0
2017,cleveland,20571.2,18273.0,35.0,15.0,57.32,4.28,23.36,58.96,590.8,4219838.0,1780673.0,13.0,593086.0
2018,cleveland,22001.2,18077.4,35.0,14.62,57.98,4.72,22.7,60.22,572.8,3764271.0,1780673.0,13.0,548234.0
2019,cleveland,24909.6,17924.6,35.64,15.1,59.1,4.42,21.38,63.0,,2628480.0,1780673.0,11.0,512489.0
2020,cleveland,27636.4,17717.2,35.24,15.04,60.82,4.48,19.68,63.38,,1462001.0,1780673.0,10.0,477588.0
2020,houston,97209.0,31312.5,37.5,43.52,45.52,3.82,7.15,9.07,,25836.0,4944332.0,8.0,42514.0
2013,kansas,45802.88,12430.75,34.81,26.25,56.32,3.47,13.92,60.07,564.12,1591117.0,1519417.0,11.0,512874.0
2014,kansas,47554.71,12435.0,34.75,26.2,57.65,3.49,12.68,60.88,584.88,1545400.0,1519417.0,11.0,512300.0
2015,kansas,50107.75,12690.88,34.72,26.87,57.9,3.4,11.82,59.5,604.62,1435736.0,1519417.0,11.0,512787.0
2016,kansas,51233.25,12784.75,34.28,26.84,59.12,2.94,11.1,58.57,622.88,1350482.0,1519417.0,11.0,518198.0
2017,kansas,53880.38,12935.62,34.65,27.44,59.25,2.78,10.51,55.62,584.5,1240926.0,1519417.0,12.0,498988.0
2018,kansas,57611.38,13127.62,34.79,27.81,58.71,2.72,10.75,50.45,595.62,1160189.0,1519417.0,11.0,455147.0
2019,kansas,58913.5,13253.0,34.51,28.46,58.88,2.73,9.96,50.72,,1109564.0,1519417.0,11.0,455528.0
2020,kansas,63147.88,13579.75,34.19,28.21,59.06,2.75,9.99,49.8,,786333.0,1519417.0,9.0,345827.0
