Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,Unnamed: 39,Unnamed: 40,Unnamed: 41,1,Unnamed: 43,Unnamed: 44
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10427,RB,DO,156,,0.8527,W,0.1385,,219.0816,,35.5849,W,6.1566,W,3.4272,W,,15048086,,108653094,,17648255,W,495948,,31702817,W,3151031,,Yes,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3482,RB,DO,26,,0.6647,,0.1596,,223.2438,,53.5936,,4.1655,,0.6618,,,3588146,,22487353,,5398482,,100730,,33978651,,1564354,,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2428,RB,DO,65,,0.9133,,0.3066,,170.0719,,57.0926,,2.9789,,1.4391,,,8415415,,27447897,,9214174,,161390,,19072682,,1454757,,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,2157,RB,DO,8,,0.0826,,0.0034,,111.2587,,4.516,,24.6366,,6.7597,,,2134,,636511,,25836,,5721,,94162,,42514,,No,,,,,,
Central Florida Regional Transportation Authority,Orlando,FL,4035,40035,Independent Public Agency or Authority of Transit Service,Full Reporter,1510516,651,RB,DO,12,,0.0,,0.0,,90.4932,,12.6305,,7.1646,,3.7649,W,,0,,4123232,,575497,,45564,,1095178,W,264513,,Yes,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673,418,RB,DO,10,,0.9442,,0.2486,,103.4536,,27.2426,,3.7975,,1.3518,,,1380409,,5551941,,1462001,,53666,,4106941,,477588,,No,,,,,,
Greater Richmond Transit Company,Richmond,VA,3006,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,953556,330,RB,DO,9,,0.2842,,0.1063,,100.1805,,37.4689,,2.6737,,1.0695,W,,553508,,5206479,,1947297,,51971,,4868243,W,493643,,Yes,,,,,,
Kansas City Area Transportation Authority,Kansas City,MO,7005,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,1519417,325,RB,DO,9,,0.188,,0.0259,,166.0543,,22.8452,,7.2687,,2.8265,,,147837,,5715588,,786333,,34420,,2022175,,345827,,No,,,,,,
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935,242,RB,DO,8,,0.9116,,0.2348,,93.9897,,24.2132,,3.8818,,1.3204,W,,553359,,2356417,,607049,,25071,,1784660,W,324728,,Yes,,,,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,924859,239,RB,DO,9,,0.5737,,0.0832,,237.2126,,34.3894,,6.8978,,1.3595,,,814231,,9789288,,1419182,,41268,,7200790,,684972,,No,,,,,,
Lane Transit District,Eugene,OR,7,7,Independent Public Agency or Authority of Transit Service,Full Reporter,247421,236,RB,DO,13,,0.5949,,0.1828,,181.5602,,55.7963,,3.254,,1.2416,,,1959765,,10719679,,3294327,,59042,,8633724,,661020,,No,,,,,,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,5050,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,1487483,225,RB,DO,18,,0.7933,,0.0985,,135.7418,,16.8584,,8.0519,,2.2246,W,,803878,,8159169,,1013324,,60108,,3667726,W,829270,,Yes,,,,,,
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,6019,60019,"City, County or Local Government Unit or Department of Transportation",Full Reporter,741318,209,RB,DO,16,,0.1569,,0.025,,174.6296,,27.873,,6.2652,,1.5942,,,129450,,5167989,,824874,,29594,,3241755,,364674,,No,,,,,,
Roaring Fork Transportation Authority,Glenwood Springs,CO,8R01-013,8R01-80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,103,RB,DO,26,,2.1073,,0.1079,,192.1654,,9.8438,,19.5215,,0.0,,,998070,,9245847,,473625,,48114,,0,,1528227,,No,,,,,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,264465,52,RB,DO,6,,1.0169,,0.1974,,116.9203,,22.6948,,5.1519,,1.7905,,,607450,,3077459,,597349,,26321,,1718766,,268926,,No,,,,,,
